"","Name","Pos","Odds","TGP","AG","APIM","AA","AOTG","AGW","AHat"
"1","A. Andreo","LW",0.0679012345679012,81,0.037037037037037,0.617283950617284,0.0740740740740741,0,0.0246913580246914,0
"2","A. Anisim","C",0.399532710280374,214,0.233644859813084,0.233644859813084,0.257009345794392,0,0.0373831775700935,0.00467289719626168
"3","A. Athana","LW",0.347867298578199,211,0.360189573459716,0.436018957345972,0.308056872037915,0.014218009478673,0.0473933649289099,0
"4","A. Barkov","C",1.29954954954955,222,0.436936936936937,0.135135135135135,0.779279279279279,0.018018018018018,0.0585585585585586,0.018018018018018
"5","A. Beauvi","LW",0.428440366972477,218,0.261467889908257,0.146788990825688,0.160550458715596,0,0.0458715596330275,0.00917431192660551
"6","A. Biega","D",0.274380165289256,121,0.0413223140495868,0.628099173553719,0.297520661157025,0,0.00826446280991736,0
"7","A. Bitett","D",0.0664948453608247,97,0.0103092783505155,0.525773195876289,0.0824742268041237,0,0.0103092783505155,0
"8","A. Burako","LW",0.256377551020408,196,0.183673469387755,0.280612244897959,0.198979591836735,0.00510204081632653,0.0663265306122449,0
"9","A. Burmis","C",0.0465753424657534,73,0.0273972602739726,0.164383561643836,0.0547945205479452,0,0,0
"10","A. Burrow","LW",0.0482876712328767,146,0.0410958904109589,0.404109589041096,0.0547945205479452,0,0.0136986301369863,0
"11","A. Chiass","RW",0.188372093023256,215,0.246511627906977,0.418604651162791,0.190697674418605,0,0.0186046511627907,0
"12","A. Coglia","C",0.182291666666667,240,0.1,0.354166666666667,0.1875,0,0.0125,0
"13","A. Copp","C",0.231162790697674,215,0.144186046511628,0.12093023255814,0.218604651162791,0,0.0186046511627907,0
"14","A. Crackn","RW",0,76,0,0,0,0,0,0
"15","A. Czarni","C",0.293805309734513,113,0.106194690265487,0.141592920353982,0.247787610619469,0,0.0530973451327434,0
"16","A. Duclai","LW",0.381914893617021,188,0.26063829787234,0.234042553191489,0.212765957446809,0.00531914893617021,0.0425531914893617,0.00531914893617021
"17","A. Edler","D",0.403092783505155,194,0.134020618556701,0.907216494845361,0.391752577319588,0.0257731958762887,0.0309278350515464,0
"18","A. Ekblad","D",0.304956896551724,232,0.181034482758621,0.711206896551724,0.301724137931034,0.0129310344827586,0.0258620689655172,0
"19","A. Emelin","D",0.0394736842105263,152,0.00657894736842105,0.263157894736842,0.0526315789473684,0,0,0
"20","A. Erne","LW",0.258333333333333,114,0.149122807017544,0.798245614035088,0.236842105263158,0,0.0614035087719298,0
"21","A. Galche","C",0.504651162790698,215,0.265116279069767,0.418604651162791,0.353488372093023,0.00930232558139535,0.0465116279069767,0.00465116279069767
"22","A. Goligo","D",0.305508474576271,236,0.076271186440678,0.245762711864407,0.300847457627119,0.00423728813559322,0.0127118644067797,0
"23","A. Greene","D",0.206768558951965,229,0.0567685589519651,0.231441048034935,0.218340611353712,0,0,0
"24","A. Henriq","C",0.349387755102041,245,0.244897959183673,0.277551020408163,0.302040816326531,0.00408163265306122,0.0571428571428571,0
"25","A. Kempe","C",0.414705882352941,187,0.213903743315508,0.796791443850267,0.283422459893048,0,0.0374331550802139,0.0053475935828877
"26","A. Killor","LW",0.51530612244898,245,0.208163265306122,0.551020408163265,0.310204081632653,0.00816326530612245,0.0204081632653061,0.00816326530612245
"27","A. Kopita","C",0.694560669456067,239,0.330543933054393,0.334728033472803,0.556485355648536,0,0.0502092050209205,0.00418410041841004
"28","A. Ladd","LW",0.181920903954802,177,0.101694915254237,0.31638418079096,0.186440677966102,0,0.0112994350282486,0
"29","A. Larsso","D",0.169196428571429,224,0.0446428571428571,0.544642857142857,0.191964285714286,0,0.00446428571428571,0
"30","A. Lee","LW",0.293877551020408,245,0.391836734693878,0.653061224489796,0.277551020408163,0,0.0489795918367347,0
"31","A. Lehkon","LW",0.252488687782805,221,0.153846153846154,0.380090497737557,0.221719457013575,0,0.0497737556561086,0
"32","A. Lindho","D",0.0532258064516129,62,0,0.225806451612903,0.0645161290322581,0,0,0
