C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
1,N. Kucher,RW,TB,82,41,87,128,62,0,7,4,15,33,0,0,0,8,0,1,0,246,24,128,1.6,12,9.5,
2,C. McDavi,C,EDM,78,41,75,116,20,0,4,2,9,24,1,1,3,9,0,3,0,240,3,116,1.5,14,12.5,
3,P. Kane,RW,CHI,81,44,66,110,22,0,4,2,9,21,0,0,3,7,0,4,1,341,2,112,1.4,9.8,10.5,
4,L. Draisa,C,EDM,82,50,55,105,52,0,4,1,16,13,3,0,3,5,0,0,1,231,2,107,1.3,9,8.5,
5,J. Gaudre,LW,CAL,82,36,63,99,24,0,2,0,6,21,0,0,3,8,0,2,2,245,18,103,1.3,6.75,6.75,
6,S. Crosby,C,PIT,79,35,65,100,36,0,5,1,12,17,0,2,1,3,0,2,1,220,18,102,1.3,9,8.7,
7,B. Marcha,LW,BOS,79,36,64,100,96,10,5,1,10,24,3,4,3,9,0,2,0,231,15,100,1.3,7.5,6.13,
8,S. Stamko,C,TB,82,45,53,98,37,5,3,2,19,21,2,0,0,6,0,1,1,234,4,100,1.2,9.5,8.5,
9,A. Barkov,C,FLA,82,35,61,96,8,0,10,3,13,18,0,1,2,5,0,1,2,206,-3,100,1.2,6.9,5.9,
10,N. MacKin,C,COL,82,41,58,99,34,0,4,1,12,25,0,0,1,6,0,4,0,365,20,99,1.2,6.75,6.3,
11,A. Ovechk,LW,WAS,81,51,38,89,40,0,4,2,18,10,0,0,0,5,0,4,3,338,7,95,1.2,10,9.54,
12,B. Point,C,TB,79,41,51,92,28,0,6,0,20,15,0,0,2,7,0,1,1,191,27,94,1.2,-,-,
13,M. Marner,RW,TOR,82,26,68,94,22,0,2,0,3,18,1,2,0,5,0,4,0,233,22,94,1.1,16,10.89,
14,B. Wheele,RW,WIN,82,20,71,91,60,10,1,0,2,31,2,1,0,3,0,3,1,231,0,93,1.1,10,8.25,
15,J. Tavare,C,TOR,82,47,41,88,34,0,2,0,10,9,0,0,1,8,0,0,2,286,19,92,1.1,15.9,11,
16,J. Huberd,LW,FLA,82,30,62,92,40,0,8,4,11,23,0,0,0,5,0,1,0,226,-14,92,1.1,6.2,5.9,
17,M. Rantan,RW,COL,74,31,56,87,54,0,2,2,16,17,0,0,1,4,0,3,0,193,13,87,1.2,-,-,
18,A. Panari,LW,NYR,79,28,59,87,23,5,3,2,6,12,0,0,4,8,0,1,0,191,14,87,1.1,14,11.64,
19,D. Pastrn,RW,BOS,66,38,43,81,32,0,3,0,17,16,0,0,0,4,0,1,3,235,6,87,1.3,6.8,6.67,
20,C. Giroux,RW,PHI,82,22,63,85,24,0,4,1,2,21,1,0,1,4,0,1,0,229,9,85,1,8,8.28,
21,S. Aho,RW,CAR,82,30,53,83,26,0,3,0,3,21,4,1,3,7,0,5,1,243,25,85,1,12,8.45,
22,J. Toews,C,CHI,82,35,46,81,40,0,4,3,9,14,1,0,2,5,0,3,2,235,2,85,1,9.8,10.5,
23,M. Scheif,C,WIN,82,38,46,84,38,0,2,1,12,11,0,3,3,6,0,2,0,199,8,84,1,6.75,6.13,
24,P. Kessel,RW,ARI,82,27,55,82,28,0,3,1,12,24,0,0,2,10,0,0,1,215,-19,84,1,7,8,
25,B. Burns,D,SJ,82,16,67,83,34,0,0,0,7,21,1,4,2,6,0,0,0,300,13,83,1,10,8,
26,S. Monaha,C,CAL,78,34,48,82,12,0,4,3,12,11,0,0,0,5,0,2,0,211,7,82,1.1,6.75,6.38,
27,J. Eichel,C,BUF,77,28,54,82,26,0,8,4,8,18,0,0,2,2,0,2,0,303,-11,82,1.1,10,10,
28,P. Berger,C,BOS,65,32,47,79,30,0,2,0,9,18,4,3,1,3,0,5,1,205,23,81,1.2,4.38,6.88,
29,T. Seguin,C,DAL,82,33,47,80,18,0,3,1,9,18,0,0,2,8,0,3,0,334,17,80,1,13.5,9.85,
30,J. Guentz,LW,PIT,82,40,36,76,26,0,2,1,6,5,1,0,1,4,0,1,2,227,13,80,1,7,6,
31,M. Tkachu,LW,CAL,80,34,43,77,62,10,4,0,11,13,0,0,0,2,0,4,1,207,14,79,1,-,-,
32,R. O'Reil,C,STL,82,28,49,77,12,0,5,2,6,16,1,2,2,5,0,1,1,234,22,79,1,6,7.5,
33,E. Lindho,C,CAL,81,27,51,78,20,0,1,0,9,17,1,3,0,5,0,2,0,182,30,78,1,5.85,4.85,
34,S. Coutur,C,PHI,80,33,43,76,34,0,2,1,8,9,1,0,1,5,0,1,1,223,2,78,1,4.5,4.33,
35,T. Hertl,C,SJ,77,35,39,74,18,0,2,0,11,4,1,1,1,5,0,3,2,176,5,78,1,6.25,5.63,
36,A. Debrin,LW,CHI,82,41,35,76,15,5,2,1,13,11,0,0,1,3,0,1,1,220,0,78,1,0.8,0.78,
37,G. Landes,LW,COL,73,34,41,75,51,5,4,0,10,17,0,0,0,9,0,2,1,243,17,77,1.1,6,5.57,
38,M. Zibane,C,NYR,82,30,44,74,47,0,11,5,11,12,2,0,0,5,0,2,1,236,-12,76,0.9,5.35,5.35,
39,N. Backst,C,WAS,80,22,52,74,30,0,5,3,7,18,0,0,1,5,0,2,1,169,2,76,0.9,8,6.7,
40,T. Terava,C,CAR,82,21,55,76,12,0,0,0,8,16,1,4,1,1,0,1,0,167,30,76,0.9,6.25,5.4,
41,M. Giorda,D,CAL,78,17,57,74,69,5,0,0,3,18,4,2,0,2,0,0,0,221,39,74,0.9,6.75,6.75,
42,A. Radulo,RW,DAL,70,29,43,72,54,0,3,0,7,16,0,0,1,7,0,4,1,209,22,74,1.1,6.6,6.25,
43,A. Matthe,C,TOR,68,37,36,73,12,0,2,1,12,8,0,0,2,5,0,0,0,251,-9,73,1.1,15.9,11.63,
44,C. Atkins,RW,CLB,80,41,28,69,20,0,3,2,8,6,4,0,0,8,0,3,2,295,3,73,0.9,7.38,5.88,
45,M. Stone,RW,VEG,77,33,40,73,27,5,0,0,6,14,1,0,1,4,0,1,0,199,17,73,0.9,12,9.5,
46,D. Larkin,C,DET,76,32,41,73,75,5,4,1,7,8,2,1,4,4,0,3,0,287,-6,73,1,7,6.1,
47,D. Krejci,C,BOS,81,20,53,73,16,0,1,0,6,10,0,0,1,4,0,0,0,139,7,73,0.9,7,7.25,
48,M. Rielly,D,TOR,82,20,52,72,14,0,0,0,3,18,0,0,2,5,0,0,0,223,24,72,0.9,5,5,
49,M. Domi,C,MON,82,28,44,72,80,10,1,0,4,7,0,0,0,2,0,2,0,203,20,72,0.9,3.15,3.15,
50,L. Coutur,C,SJ,81,27,43,70,22,0,3,0,6,12,2,0,0,3,0,1,1,204,-6,72,0.9,10,8,
51,E. Malkin,C,PIT,68,21,51,72,89,5,3,0,9,17,0,0,0,5,0,1,0,187,-25,72,1.1,9.5,9.5,
