C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
1,C. McDavi,C,EDM,82,30,70,100,26,0,4,2,3,24,1,1,1,6,0,3,1,251,27,102,1.2,14,12.5,
2,S. Crosby,C,PIT,75,44,45,89,24,0,8,3,14,11,0,0,1,5,0,2,1,255,17,91,1.2,9,8.7,
3,P. Kane,RW,CHI,82,34,55,89,32,0,5,1,7,16,0,0,1,5,0,3,2,292,11,93,1.1,9.8,10.5,
4,N. Backst,C,WAS,82,23,63,86,38,0,5,1,8,27,0,0,2,5,0,1,0,162,17,86,1,8,6.7,
5,N. Kucher,RW,TB,74,40,45,85,38,10,6,2,17,15,0,0,1,7,0,3,2,246,13,89,1.2,12,9.5,
6,B. Marcha,LW,BOS,80,39,46,85,81,0,4,2,9,15,3,2,1,8,0,4,1,226,18,87,1.1,7.5,6.13,
7,M. Scheif,C,WIN,79,32,50,82,38,0,3,1,7,8,0,2,2,5,0,2,0,160,18,82,1,6.75,6.13,
8,L. Draisa,C,EDM,82,29,48,77,20,0,6,3,10,17,0,0,3,5,0,2,0,172,7,77,0.9,9,8.5,
9,B. Burns,D,SJ,82,29,47,76,40,0,1,0,8,17,0,1,3,6,0,0,0,320,19,76,0.9,10,8,
10,V. Tarase,RW,STL,82,39,36,75,12,0,4,1,9,13,0,0,3,8,0,2,1,286,-1,77,0.9,9.5,7.5,
11,A. Panari,LW,NYR,82,31,43,74,21,5,5,4,9,8,0,0,1,5,0,4,0,211,18,74,0.9,14,11.64,
12,B. Wheele,RW,WIN,82,26,48,74,47,5,3,0,5,16,2,1,0,4,0,3,0,259,6,74,0.9,10,8.25,
13,R. Getzla,C,ANA,74,15,58,73,49,5,5,3,6,14,2,1,0,3,0,0,0,138,7,73,1,8.28,8.25,
14,E. Malkin,C,PIT,62,33,39,72,77,5,5,1,11,12,0,0,1,6,0,0,1,191,18,74,1.2,9.5,9.5,
15,T. Seguin,C,DAL,82,26,46,72,22,0,3,2,11,18,0,0,1,4,0,1,0,301,-15,72,0.9,13.5,9.85,
16,V. Hedman,D,TB,79,16,56,72,47,5,1,0,4,29,0,0,2,5,0,2,0,166,3,72,0.9,8,7.88,
17,E. Karlss,D,SJ,77,17,54,71,28,0,5,2,4,23,0,2,1,5,0,1,0,218,10,71,0.9,14.5,11.5,
18,D. Pastrn,RW,BOS,75,34,36,70,34,0,4,1,10,14,0,0,2,6,0,3,0,262,11,70,0.9,6.8,6.67,
19,P. Kessel,RW,ARI,82,23,47,70,20,0,6,3,8,22,0,0,1,4,0,0,0,229,3,70,0.9,7,8,
20,A. Matthe,C,TOR,82,40,29,69,14,0,8,2,8,13,0,0,1,8,0,1,1,279,2,71,0.9,15.9,11.63,
21,A. Ovechk,LW,WAS,82,33,36,69,50,0,3,0,17,9,0,0,2,7,0,0,2,313,6,73,0.9,10,9.54,
22,M. Granlu,LW,NAS,81,26,43,69,12,0,1,0,7,13,3,1,1,4,0,4,1,177,23,71,0.9,6.5,5.75,
23,J. Benn,LW,DAL,77,26,43,69,66,20,3,1,12,14,1,0,2,4,0,0,0,201,-9,69,0.9,13,9.5,
24,J. Pavels,C,DAL,81,29,39,68,34,0,3,0,7,15,1,0,0,7,0,3,0,233,11,68,0.8,8,7,
25,H. Zetter,LW,DET,82,17,51,68,22,0,4,3,2,11,0,0,0,0,0,0,0,195,15,68,0.8,1,6.08,
26,M. Pacior,LW,VEG,81,35,32,67,38,0,4,0,8,5,1,1,2,7,0,1,2,268,15,71,0.9,10.5,7,
27,J. Carter,C,LA,82,32,34,66,41,5,4,3,10,12,1,0,4,9,0,2,0,250,2,66,0.8,3,5.27,
28,J. Tavare,C,TOR,77,28,38,66,38,0,3,2,7,11,1,1,1,3,0,4,1,260,4,68,0.9,15.9,11,
29,E. Staal,C,MIN,82,28,37,65,34,0,1,1,4,12,1,1,0,8,0,4,0,211,17,65,0.8,3.5,3.25,
30,P. Laine,RW,WIN,73,36,28,64,26,0,4,3,9,5,0,0,1,5,0,3,3,204,7,70,1,-,-,
31,N. Ehlers,LW,WIN,82,25,39,64,38,0,1,0,5,7,0,0,0,4,0,3,0,204,1,64,0.8,6.5,6,
32,J. Skinne,LW,BUF,79,37,26,63,28,0,5,0,7,8,0,0,0,4,0,1,0,281,-3,63,0.8,10,9,
33,C. Atkins,RW,CLB,82,35,27,62,22,0,4,2,10,11,3,0,3,9,0,2,0,240,13,62,0.8,7.38,5.88,
34,J. van Ri,LW,PHI,82,29,33,62,37,5,2,0,6,13,0,0,0,5,0,0,1,238,-2,64,0.8,8,7,
35,N. Kadri,C,COL,82,32,29,61,95,10,2,0,12,5,0,0,2,6,0,2,0,236,-7,61,0.7,4.5,4.5,
36,V. Arvids,RW,NAS,80,31,30,61,28,0,1,0,4,5,5,2,1,6,0,2,1,246,16,63,0.8,4.25,4.25,
37,M. Hoffma,LW,FLA,74,26,35,61,51,0,1,0,13,13,0,0,1,8,0,0,1,224,17,63,0.9,5.65,5.19,
38,W. Nyland,RW,TOR,81,22,39,61,32,0,2,0,9,17,0,0,0,2,0,1,1,205,-3,63,0.8,9,6.96,
39,J. Vorace,RW,PHI,82,20,41,61,56,5,11,5,5,18,0,0,2,3,0,2,0,253,-24,61,0.7,9.25,8.25,
